case_id,dice_score
case_001,0.9248295298220567
case_002,0.8994415024452355
case_003,0.897379562879048
case_004,0.9208365718073249
case_005,0.871887820869349
case_006,0.9027474628194766
case_007,0.8972961773541904
case_008,0.9025447753727112
case_009,0.8859786860920006
case_010,0.9161173442390651
case_011,0.85262472858646
case_012,0.8617214397496088
case_013,0.8744195962223122
case_014,0.8530211446419342
case_015,0.8825250836120402
case_016,0.911021719645067
case_017,0.8955682626568703
case_018,0.9229465564094322
case_019,0.9164690969073039
case_020,0.9425170450479919
case_021,0.9182412666807591
case_022,0.9135071711107258
case_023,0.8921140177924128
case_024,0.8288731770176384
case_025,0.9435566209437564
case_026,0.926174894886749
case_027,0.9143078272534957
case_028,0.9311226579597187
case_029,0.9146251540008152
case_030,0.9094487346781611
case_031,0.8831239973392808
case_032,0.8492862043779464
case_033,0.8904360076616152
case_034,0.8721398251340244
case_035,0.8462371383642665
case_036,0.9340934787420511
case_037,0.8937820934024482
case_038,0.9196824060293045
case_039,0.9079604984273685
case_040,0.9018073472595115
case_041,0.9393984784579605
case_042,0.9166246003701835
case_043,0.8954167289070162
case_044,0.9351862636616
case_045,0.8542282817689215
case_046,0.9115249606160242
case_047,0.9313913739467801
case_048,0.9232697589848737
case_049,0.9092959257677061
case_050,0.907385485719982
case_051,0.9197665385699456
case_052,0.8747247778564127
case_053,0.9209826661678514
case_054,0.8756904738831283
case_055,0.9225070837583589
case_056,0.940121384486828
case_057,0.8780830168914495
case_058,0.9217738042771096
case_059,0.8722617193032148
case_060,0.9219382487047579
case_061,0.9265667750468005
case_062,0.9106566565886469
case_063,0.9148525513207185
case_064,0.9243556615440086
